epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1006.37,1.4695,1.96337,2.10946,1.03505,0.85197,0.35821,0.3753,0.23706,0.82629,0.35795,0.34818,0.20039,1.44862,1.91209,1.43716,0.97517,0.000270802,0.000270802,0.000270802
32,1040.51,1.60982,2.12292,1.93531,0.96655,0.85197,0.35821,0.3753,0.23706,0.82629,0.35795,0.34818,0.20039,1.44862,1.91209,1.43716,0.97517,0.000257595,0.000257595,0.000257595
33,1075.03,1.64699,2.16843,2.15814,1.01593,0.834,0.38273,0.37536,0.23982,0.8203,0.36685,0.34843,0.20165,1.43272,1.90313,1.41867,0.97123,0.000244389,0.000244389,0.000244389
34,1109.54,1.54876,2.11504,1.81311,0.96162,0.834,0.38273,0.37536,0.23982,0.8203,0.36685,0.34843,0.20165,1.43272,1.90313,1.41867,0.97123,0.000231182,0.000231182,0.000231182
35,1140.98,1.40744,1.99376,1.68017,0.94781,0.834,0.38273,0.37536,0.23982,0.8203,0.36685,0.34843,0.20165,1.43272,1.90313,1.41867,0.97123,0.000217976,0.000217976,0.000217976
36,1171.11,1.35421,1.63733,1.689,0.95589,0.85211,0.39555,0.3802,0.24897,0.83819,0.381,0.35098,0.20526,1.40498,1.88478,1.39552,0.9587,0.000204769,0.000204769,0.000204769
37,1202.69,1.41078,1.98685,1.80128,0.93109,0.85211,0.39555,0.3802,0.24897,0.83819,0.381,0.35098,0.20526,1.40498,1.88478,1.39552,0.9587,0.000191562,0.000191562,0.000191562
38,1234.53,1.3674,1.84546,1.6378,0.92692,0.86464,0.40234,0.39141,0.25767,0.8435,0.38062,0.35666,0.20478,1.39673,1.8686,1.38798,0.94986,0.000178356,0.000178356,0.000178356
39,1267.25,1.53642,2.03751,1.90355,0.98741,0.86464,0.40234,0.39141,0.25767,0.8435,0.38062,0.35666,0.20478,1.39673,1.8686,1.38798,0.94986,0.000165149,0.000165149,0.000165149
40,1301.76,1.37492,1.78595,1.69578,0.95242,0.86977,0.40191,0.39762,0.26288,0.84997,0.38191,0.36519,0.20255,1.39377,1.85315,1.40352,0.94688,0.000151943,0.000151943,0.000151943
41,1330.88,1.45869,1.86184,1.84713,0.98516,0.86977,0.40191,0.39762,0.26288,0.84997,0.38191,0.36519,0.20255,1.39377,1.85315,1.40352,0.94688,0.000138736,0.000138736,0.000138736
42,1360.88,1.49816,2.2579,2.12767,1.04908,0.87256,0.38867,0.40301,0.27311,0.85802,0.3751,0.38024,0.20876,1.38375,1.8566,1.36489,0.9439,0.000125529,0.000125529,0.000125529
43,1390.11,1.36969,1.96506,1.85256,0.95819,0.87256,0.38867,0.40301,0.27311,0.85802,0.3751,0.38024,0.20876,1.38375,1.8566,1.36489,0.9439,0.000112323,0.000112323,0.000112323
44,1419.79,1.37422,1.77121,1.66445,1.04437,0.87256,0.38867,0.40301,0.27311,0.85802,0.3751,0.38024,0.20876,1.38375,1.8566,1.36489,0.9439,9.91162e-05,9.91162e-05,9.91162e-05
45,1448.88,1.46173,2.0777,1.89682,0.95731,0.86617,0.3886,0.40511,0.27667,0.85195,0.37405,0.38243,0.21081,1.37351,1.86057,1.34227,0.94214,8.59096e-05,8.59096e-05,8.59096e-05
46,1477.02,1.66869,2.22005,1.71486,0.95626,0.86617,0.3886,0.40511,0.27667,0.85195,0.37405,0.38243,0.21081,1.37351,1.86057,1.34227,0.94214,7.2703e-05,7.2703e-05,7.2703e-05
47,1505.32,1.40592,1.85865,1.85087,0.95523,0.85565,0.39735,0.4068,0.27345,0.85163,0.38266,0.38711,0.21083,1.37164,1.87679,1.31529,0.94254,5.94964e-05,5.94964e-05,5.94964e-05
48,1534.13,1.38455,1.95224,1.58136,0.98201,0.85565,0.39735,0.4068,0.27345,0.85163,0.38266,0.38711,0.21083,1.37164,1.87679,1.31529,0.94254,4.62898e-05,4.62898e-05,4.62898e-05
49,1562.85,1.36745,1.86748,1.73963,0.95851,0.85772,0.39375,0.409,0.27647,0.84634,0.38117,0.38962,0.21284,1.37192,1.86772,1.31379,0.9431,3.30832e-05,3.30832e-05,3.30832e-05
50,1590.75,1.39909,1.95469,1.75996,0.94848,0.85772,0.39375,0.409,0.27647,0.84634,0.38117,0.38962,0.21284,1.37192,1.86772,1.31379,0.9431,1.98766e-05,1.98766e-05,1.98766e-05
