epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,525.912,1.47706,1.22165,1.04753,0.09179,0.1621,0.0946,0.02207,2.28615,3.49909,1.63502,8.32e-05,8.32e-05,8.32e-05
42,542.958,1.63696,1.37642,1.09932,0.09179,0.1621,0.0946,0.02207,2.28615,3.49909,1.63502,7.7162e-05,7.7162e-05,7.7162e-05
43,557.089,1.49463,1.17816,1.05834,0.38152,0.14488,0.09511,0.02284,2.30613,3.47754,1.6436,7.0728e-05,7.0728e-05,7.0728e-05
44,571.933,1.37417,1.17646,0.99443,0.38152,0.14488,0.09511,0.02284,2.30613,3.47754,1.6436,6.3898e-05,6.3898e-05,6.3898e-05
45,586.804,1.58781,1.17567,1.01399,0.36326,0.11016,0.08664,0.02085,2.28119,3.49699,1.63585,5.6672e-05,5.6672e-05,5.6672e-05
46,601.141,1.4615,1.13872,1.02931,0.36326,0.11016,0.08664,0.02085,2.28119,3.49699,1.63585,4.905e-05,4.905e-05,4.905e-05
47,616.291,1.55371,1.12335,1.06765,0.39285,0.09646,0.07934,0.01956,2.28516,3.5335,1.61904,4.1032e-05,4.1032e-05,4.1032e-05
48,631.881,1.46073,1.04424,1.00516,0.39285,0.09646,0.07934,0.01956,2.28516,3.5335,1.61904,3.2618e-05,3.2618e-05,3.2618e-05
49,646.131,1.46917,1.12483,1.05328,0.381,0.09989,0.07666,0.01813,2.30832,3.5451,1.63744,2.3808e-05,2.3808e-05,2.3808e-05
50,660.158,1.49097,1.1054,1.03682,0.381,0.09989,0.07666,0.01813,2.30832,3.5451,1.63744,1.4602e-05,1.4602e-05,1.4602e-05
