componentid,Stockwerk,Raum,Bemerkung,FI,Leiter,Gruppe,Sicherung,Relais,Dimmer,Ausgang,Eingang,Kabel Info,Typ,Info ,Beschr. ,Stockwerk,SPS Position im array
46,Obergeschoß,Ankleide,Fensterkontakt,,,,,,,,,,,Fensterkontakt,,OG,
47,Obergeschoß,Ankleide,Fensterkontakt Schrank rechts,,,,,,,,,,,Fensterkontakt,Schrank rechts,OG,
48,Obergeschoß,Ankleide,Fensterkontakt Schrank blinks,,,,,,,,,,,Fensterkontakt,Schrank blinks,OG,
49,Obergeschoß,Ankleide,Dose Nordwand,,L1,O-DO07,S3,R24,,R3M1Sl0Pr7,,,,Dose,Nordwand,OG,
50,Obergeschoß,Ankleide,Taster Staubsauganlage (zusammengefasst),,,,,,,,R2M3SloPr14,,,Taster,Staubsauganlage (zusammengefasst),OG,
51,Obergeschoß,Ankleide,Taster Tür,,,,,,,,R2M5Sl0Pr10,,,Taster,Tür,OG,
52,Keller,Speis,Licht,,L1,K-LI01,S20,R11,,R0M2Sl0Pr10,,,LS,Licht,,EG,
53,Obergeschoß,Ankleide,Taster Tür,,,,,,,,R2M5Sl0Pr14,,,Taster,Tür,OG,
54,Obergeschoß,Aussen,Licht LED Fluter W,,,,SAussen,R70.3,,R3M5Sl0Pr11,,,,Licht,LED Fluter W,OG,116
55,Obergeschoß,Aussen,Licht LED Fluter N,,,,SAussen,R71,,R3M5Sl0Pr10,,,,Licht,LED Fluter N,OG,117
56,Obergeschoß,Aussen,Licht außen Balkon Ost,,,O-LIA01,SAussen,R70.1,,R3M5Sl0Pr13,,,,Licht,außen Balkon Ost,OG,121
57,Obergeschoß,Aussen,Licht LED Fluter S,,,,SAussen,R73,,R3M5Sl0Pr8,,,,Licht,LED Fluter S,OG,119
58,Obergeschoß,Aussen,Licht LED Fluter O,,,,SAussen,R72,,R3M5Sl0Pr9,,,,Licht,LED Fluter O,OG,120
59,Erdgeschoss,Bad,Bad Decke,,L2,,S8,R32,,R2M7Sl0Pr6,,,LS,Licht,Bad Decke,OG,
60,Erdgeschoss,Bad,WC Decke,,L2,,S8,R33,,R2M7Sl0Pr5,,,LS,Licht,WC Decke,OG,
61,Erdgeschoss,Bad,WC Wand,,L2,,S8,direkt,D2.1,R2M7Sl0Pr4,funktioniert nicht ??,,LD,Licht,WC Wand,OG,
62,Keller,Heizraum,Heizungspumpe groß,,L1,K-HEIZ01,S21,R12,,R0M2Sl0Pr11,,,PD,Dose,Heizungspumpe groß,KG,
63,Erdgeschoss,Bad,Bad Wand 1/2,,L2,,S8,direkt,D2.3,R2M7Sl0Pr3,,,LD,Licht braun,Bad Wand,OG,
64,Keller,Heizraum,Heizungspumpe Keller Radiatoren,,L1,K-HEIZ01,S21,R13,,R0M2Sl0Pr12,,,PD,Dose,Heizungspumpe Keller Radiatoren,KG,
