componentid,Stockwerk,Raum,Bemerkung,FI,Leiter,Gruppe,Sicherung,Relais,Dimmer,Ausgang,Eingang,Kabel Info,Typ,Info ,Beschr. ,Stockwerk,SPS Position im array
180,Erdgeschoss,Aussen,E-LiAussen11 bei Garderobe,,L3,E-LIA01,S5,R58,,R0M8Sl0Pr12,,,LS,Licht,außen,EG,
181,Obergeschoß,Elternbad,Licht Dimmbar Decke,,L3,O-LI05,S5,direkt 24V,,R3M7Sl0Pr10,,,,Licht Dimmbar,Decke,OG,
182,Erdgeschoss,Aussen,E-LIAussen 05,,L3,E-LIA01,S5,R59,,R0M8Sl0Pr13,,,LS,Licht,Terrasse West,EG,85
183,Obergeschoß,Elternbad,Licht Dimmbar Decke Dusche,,L3,O-LI05,S5,direkt 24V,,R3M7Sl0Pr8,,,,Licht Dimmbar,Decke Dusche,OG,
184,Keller,Flur,Licht Stiegenaufgang ,,L1,K-LI01,S20,R6,,R0M2Sl0Pr5,,,LS,Licht,Stiegenaufgang,EG,
185,Obergeschoß,Elternbad,Licht Dimmbar Duschleiste,,L3,O-LI05,S5,direkt 24V,,R3M7Sl0Pr7,,,,Licht Dimmbar,Duschleiste,OG,
186,Erdgeschoss,Aussen,E-LIAussen03,,L3,E-LIA01,S5,R60,,R0M8Sl0Pr14,,,LS,Licht,Terrasse West,EG,87
187,Obergeschoß,Elternbad,Fensterkontakt Bad (gelb/weiss),,,,,,,,R3M1Sl0Pr6,,,Fensterkontakt,Bad (gelb/weiss),OG,
188,Erdgeschoss,Aussen,E-LIAussen04,,L3,E-LIA01,S5,R61,,R0M8Sl0Pr15,,,LS,Licht,Terrasse West,EG,
189,Obergeschoß,Elternbad,Fensterkontakt WC,,,,,,,,R2M6Sl0Pr01,,,Fensterkontakt,WC,OG,
190,Erdgeschoss,Aussen,E-LiAussen10,,L3,E-LIA01,S5,R62,,R0M10Sl0Pr0,,,LS,Licht,Stiege außen,EG,
191,Obergeschoß,Elternbad,Temp ?? Kein auslass?,,,,,,,,,,,Temp,?? Kein auslass?,OG,
192,Erdgeschoss,Bad,Bad licht spiegel 1/2,,L3,,S6,R63,,R0M10Sl0Pr1,,,LS,Licht,Licht Spiegel,EG,
193,Obergeschoß,Elternbad,Dose Heizung,,L1,O-DO07,S3,R114,,R3M3Sl0Pr0,,,,Dose,Heizung,OG,
194,Erdgeschoss,Bad,Bad licht spiegel 2/2,,L3,,S6,R64,,R0M10Sl0Pr2,,,LS,Licht,Licht Spiegel,EG,
195,Obergeschoß,Elternbad,Taster Türe,,,,,,,,R2M5Sl0Pr12,,,Taster,Bei Türe 1,OG,
196,Obergeschoß,Elternbad,Taster Bei Türe 2,,,,,,,,R2M5Sl0Pr13,,,Taster,Bei Türe 2,OG,
197,Erdgeschoss,Bad,Licht bei Waschbecken,,L3,,S6,R65,,R0M10Sl0Pr3,,,LD,Licht,Licht bei Waschbecken,EG,
198,Obergeschoß,Kinderbad,Dose bei Heizung,,,,S9,R29,,,,,,Dose,bei Heizung,NoSPS,
199,Erdgeschoss,Flur,E-DOd03 (jetzt über Relais),,L3,E-DO02,S6,R66,,R0M10Sl0Pr4,,,DO,Dose,,EG,
200,Erdgeschoss,Flur,Licht Auf Treppenabsatz,,L1,E-LIW01,S13,R10,,R2M4Sl0Pr11,,,LD,Licht,Auf Treppenabsatz,OG,
201,Erdgeschoss,Flur,E-Li01,,L2,E-LI01,S15,R67,,R0M10Sl0Pr5,,,LD,Licht,Wand,EG,
202,Erdgeschoss,Flur,Licht Auf Treppenabsatz,,L1,E-LIW01,S13,R11,,R2M4Sl0Pr10,,,LS,Licht,Auf Treppenabsatz,OG,
203,Erdgeschoss,Flur,E-Li02,,L2,E-LI01,S15,R68,,R0M10Sl0Pr6,,,LD,Licht,Wand,EG,
204,Erdgeschoss,Flur,E-Li03,,L2,E-LI01,S15,R69,,R0M10Sl0Pr7,,,LD,Licht,Wand,EG,
205,Keller,Flur,Licht Stiegenaufgang ,,L1,K-LI01,S20,R7,,R0M2Sl0Pr6,,,LS,Licht,Stiegenaufgang,EG,
206,Erdgeschoss,Flur,E-Li04,,L2,E-LI01,S15,R70,,R0M10Sl0Pr8,,,LD,Licht,Wand,EG,
207,Erdgeschoss,Flur,Licht Decke 1/2,,L2,E-LI01,S8,R37,,R2M7Sl0Pr1,,,LS,Licht,Decke 1/2,OG,
208,Erdgeschoss,Allgemein,Dimmerreset ,,L1,,S1,R71,,R0M6Sl0Pr1,,,,,,KG,
209,Obergeschoß,Wohnzimmer,Rauchmelder NOCH NICHT IN SPS! Checken ob M0 passt da 16er,,,,,,,,R3M0Sl0Pr9,"Kabel wird in Ankleide in Wand zu Büro gesteckt, nur Rauchmelder, kein Status auf Weiß/Rot",RM,Rauchmelder,NOCH NICHT IN SPS! Checken ob M0 passt da 16er,OG,
210,Obergeschoß,Wohnzimmer,Rauchmelder Status NOCH NICHT IN SPS! Checken ob M0 passt da 16er,,,,,,,,R3M0Sl0Pr10,Kabel wird in Ankleide in Wand zu Büro gesteckt,RM Status,Rauchmelder Status,NOCH NICHT IN SPS! Checken ob M0 passt da 16er (Alarmmelder (default high),OG,
211,Erdgeschoss,Flur,IR,,,,,,,,R2M3Sl0Pr15,,IR,IR,,OG,
212,Erdgeschoss,Allgemein,Dimmerreset ,,L2,,S11,R72,,R0M6Sl0Pr2,,,,,,KG,
213,Erdgeschoss,Allgemein,Dimmerreset ,,L3,,S22,R73,,R0M6Sl0Pr3,,,,,,KG,
214,Erdgeschoss,Flur,Rauchmelder,,,,,,,,,,RM,Rauchmelder,,OG,
215,Keller,Flur,Licht Stiegenaufgang ,,L1,K-LI01,S20,R8,,R0M2Sl0Pr7,,,LS,Licht,Stiegenaufgang,EG,
216,Erdgeschoss,Flur,"Helligkeitssensor rot+, blau -; singal: weiß/grün; grün",,,,,,,,R2M5Sl0Pr0,,IR,Helligkeitssensor,"rot+, blau -; singal: weiß/grün; grün",OG,
217,Keller,Flur,Licht Stiegenaufgang ,,L1,K-LI01,S20,R9,,R0M2Sl0Pr8,,,LS,Licht,Stiegenaufgang,EG,
218,Erdgeschoss,Garderobe,Licht Decke,,L2,E-LI01,S8,R31,,R2M7Sl0Pr7,,,DO,Licht,Decke,OG,65
219,Erdgeschoss,Garderobe,Licht Kasten,,L1,E-LIW01,S13,R5,,R2M6Sl0Pr0,,,DO,Licht,Kasten,OG,
220,Erdgeschoss,Garderobe,Licht Wand,,L1,E-LIW01,S13,R8,,R2M4Sl0Pr13,,,DO,Licht,Wand,OG,
221,Erdgeschoss,Garderobe,Licht Wand,,L1,E-LIW01,S13,R9,,R2M4Sl0Pr12,,,DO,Licht,Wand,OG,
222,Erdgeschoss,Garderobe,Rauchmelder Gaderrobe,,,,,,,R2M3Sl0Pr07,,,RM,Rauchmelder,Gaderrobe,OG,
223,Erdgeschoss,Gästezimmer,,,L2,E-LI01,S8,R38,,R2M7Sl0Pr0,,,LS,Licht,,OG,
224,Erdgeschoss,Wohnzimmer,TA16,,,,,,,,R0M3Sl0Pr0,,TA,Taster,,EG,
225,Erdgeschoss,Bad,K-FK WC,,,,,,,,R0M7Sl0Pr7,,FK,Fensterkontakt,,KG,
226,Erdgeschoss,Bad,K-FK Bad,,,,,,,,R0M7Sl0Pr9,,FK,Fensterkontakt,,KG,
227,Erdgeschoss,Bad,RESERVE EINGANG,,,,,,,,R0M7Sl0Pr10,,,,,KG,
228,Erdgeschoss,Bad,RESERVE EINGANG,,,,,,,,R0M7Sl0Pr8,,,,,KG,
229,Erdgeschoss,Bad,Taster Bad,,,,,,,,R0M7Sl0Pr5,,TA,Taster,,EG,
230,Erdgeschoss,Bad,Taster WC,,,,,,,,R0M7Sl0Pr11,,TA,Taster,,EG,
231,Erdgeschoss,Bad,Temp Bad 2.58,,,,,,,,R0M0Sl1Pr0,,TE,Temp,,EG,17
232,Erdgeschoss,Gästezimmer,Rauchmelder Gästezimmer,,,,,,,R2M3Sl0Pr08,,,RM,Rauchmelder,Gästezimmer,OG,
233,Obergeschoß,Kinderbad,Taster,,,,,,,,R2M3Sl0Pr02,,,Taster,,OG,
234,Erdgeschoss,Flur,TA02 bei Gästezimmer,,,,,,,,R0M9Sl0Pr12,,TA,Taster,,EG,
235,Erdgeschoss,Flur,TA03 bei Gästezimmer,,,,,,,,R0M9Sl0Pr13,,TA,Taster,,EG,
236,Erdgeschoss,Flur,TA04 bei KÜ eingang,,,,,,,,R0M7Sl0Pr14,,TA,Taster,,EG,
237,Obergeschoß,Kinderbad,Dose Waschtisch,,L3,O-DO03,S12,R12,,R2M4Sl0Pr09,,,,Dose,Waschtisch,OG,
238,Erdgeschoss,Flur,TA05 bei KÜ eingang,,,,,,,,R0M7Sl0Pr15,,TA,Taster,,EG,
239,Erdgeschoss,Flur,TA06 bei WZ,,,,,,,,R0M1Sl0Pr5,,TA,Taster,,EG,
240,Erdgeschoss,Flur,TA07 bei WZ,,,,,,,,R0M1Sl0Pr6,,TA,Taster,,EG,
241,Erdgeschoss,Flur,TA10 bei Bad,,,,,,,,R0M7Sl0Pr12,grünes kabel,TA,Taster,,EG,
242,Erdgeschoss,Flur,TA11 bei Bad,,,,,,,,R0M7Sl0Pr13,,TA,Taster,,EG,
243,Erdgeschoss,Flur,Temp,,,,,,,,,,TE,Temp,,EG,
244,Erdgeschoss,Garderobe,bei taster TA20+21,,,,,,,,,,TA,Klingel,Außen,EG,
245,Obergeschoß,Kinderbad,Licht Spiegel,,,,S12,R18,,R2M4Sl0Pr03,,,,Licht,Spiegel,OG,
246,Obergeschoß,Kinderbad,Dose Tür,,,,S9,R26,,,,,,Dose,Tür,OG,
247,Erdgeschoss,Garderobe,E-FK04,,,,,,,,R0M9Sl0Pr0,rot geschalten,FK,Fensterkontakt,Fenster,EG,
248,Erdgeschoss,Garderobe,E-FK20 (noch nicht angeschlossen),,,,,,,,R0M9Sl0Pr9,,FK,Fensterkontakt,Türe,EG,
249,Erdgeschoss,Garderobe,E-FK21,,,,,,,,R0M9Sl0Pr10,,FK,Fensterkontakt,Türe offen/zu,EG,
250,Erdgeschoss,Aussen,E-IR02 aussen bei Garderobe,,,,,,,,R0M9Sl0Pr5,"""""+/- über gelb/weiß von TA20/21!!",IR,IR,Außen,EG,
251,Erdgeschoss,Garderobe,E-TA18 bei Haustüre,,,,,,,,R0M9Sl0Pr1,,TA,Taster,,EG,
252,Erdgeschoss,Garderobe,E-TA19 bei Haustüre,,,,,,,,R0M9Sl0Pr2,,TA,Taster,,EG,
253,Erdgeschoss,Garderobe,E-TA20 Außen,,,,,,,,R0M9Sl0Pr7,siehe e-IR02,TA,Taster,Außen,EG,
254,Erdgeschoss,Garderobe,E-TA21 Außen,,,,,,,,R0M9Sl0Pr8,siehe e-IR02,TA,Taster,Außen,EG,
255,Erdgeschoss,Garderobe,E-TA22 bei Terminal,,,,,,,,R0M9Sl0Pr3,,TA,Taster,,EG,
256,Erdgeschoss,Garderobe,E-TA23 bei Terminal,,,,,,,,R0M9Sl0Pr4,,TA,Taster,,EG,
257,Erdgeschoss,Garderobe,Temp Garderobe 2.59,,,,,,,,R0M0Sl1Pr3,,TE,Temp,,EG,57
258,Erdgeschoss,Garderobe,IR,,,,,,,,R0M7Sl0Pr4,,IR,IR,innen,EG,
259,Erdgeschoss,Garderobe,RESERVE EINGANG,,,,,,,,R0M9Sl0Pr6,,IR,IR,Außen,EG,
260,Erdgeschoss,Garderobe,Staubsauganlage,,,,,,,,R0M1Sl0Pr0,,TA,Staubsauganlage,,KG,
261,Erdgeschoss,Garderobe,E-kamera,,,,,,,,,,,Kamera,,NoSPS,
262,Erdgeschoss,Garderobe,bei kamera,,,,,,,,,,,Audio,,NoSPS,
263,Erdgeschoss,Garderobe,Netzwerk,,,,,,,,,,,Netzwerk,,NoSPS,
264,Erdgeschoss,Garderobe,Blumengießanlage,,,,,,,,,,,Blumengießanlage,,NoSPS,
265,Erdgeschoss,Gästezimmer,E-FK01 Gäste,,,,,,,,R0M7Sl0Pr6,rot geschalten,FK,Fensterkontakt,,EG,
266,Erdgeschoss,Gästezimmer,E-TA01 Gäste,,,,,,,,R0M9Sl0Pr11,,TA,Taster,,EG,
267,Erdgeschoss,Gästezimmer,Temp Gäste 2.61,,,,,,,,R0M0Sl1Pr2,,TE,Temp,,EG,60
268,Erdgeschoss,Gästezimmer,,,,,,,,,,,,Netzwerk,,NoSPS,
269,Erdgeschoss,Wohnzimmer,bereits oben gelistet,,,,,,,,,,TA,Taster,,EG,
270,Erdgeschoss,Wohnzimmer,bereits oben gelistet,,,,,,,,,,TE,Temp,außen Nord,EG,
271,Erdgeschoss,Wohnzimmer,E-Dod05,,L1,,S25,,,,,,,Dose dauer,,EG,
272,Erdgeschoss,Wohnzimmer,E-DOd06,,L1,,S25,,,,,,,Dose,,EG,
273,Erdgeschoss,Wohnzimmer,E-FK02 Küchenfenster,,,,,,,,R0M1Sl0Pr14,(1),FK,Fensterkontakt,,EG,
274,Erdgeschoss,Wohnzimmer,E-IR01,,,,,,,,,,IR,IR,Kellerstiege,EG,
275,Erdgeschoss,Wohnzimmer,E-RO01-05,,L3,E-DO06,S7,,,,,,RO,Rollo,,EG,
276,Erdgeschoss,Wohnzimmer,Temperatur WZ 2.83,,,,,,,,R0M0Sl0Pr2,,TE,Temp,,EG,82
277,Erdgeschoss,Aussen,E-Temp03 aussen bei WZ 2.82,,,,,,,,R0M0Sl0Pr1,,TE,Temp,,EG,81
278,Erdgeschoss,Aussen,Temp Aussen Südwand(?) 2.81,,,,,,,,R0M0Sl0Pr0,,TE,Temp,innen und außen,EG,80
279,Erdgeschoss,Wohnzimmer,Fensterkontakt,,,,,,,,,,FK,Fensterkontakt,Fensterkontakt,EG,
280,Erdgeschoss,Wohnzimmer,FK Küchentüre,,,,,,,,R0M3Sl0Pr1,,FK,Fensterkontakt,,EG,
281,Erdgeschoss,Wohnzimmer,FK Speisschiebetür,,,,,,,,R0M5Sl0Pr15,,FK,Fensterkontakt,,EG,
282,Erdgeschoss,Wohnzimmer,FK Tür West,,,,,,,,R0M1Sl0Pr11,,FK,Fensterkontakt,,EG,
283,Erdgeschoss,Wohnzimmer,FK03 Küchenfenster,,,,,,,,R0M1Sl0Pr15,(2),FK,Fensterkontakt,,EG,
284,Erdgeschoss,Wohnzimmer,Staubsauganlage WZ,,,,,,,,R0M1Sl0Pr1,,TA,Staubsauganlage,WZ,NoSPS,
285,Erdgeschoss,Wohnzimmer,Staubsauganlage Küche,,,,,,,,R0M1Sl0Pr2,,TA,Staubsauganlage,Küche,NoSPS,
286,Erdgeschoss,Wohnzimmer,TA außen west 1/2,,,,,,,,R0M1Sl0Pr9,weiß/weiß,TA,Taster,,EG,
287,Erdgeschoss,Wohnzimmer,TA außen west 2/2,,,,,,,,R0M1Sl0Pr10,grün/gelb,TA,Taster,,EG,
288,Erdgeschoss,Wohnzimmer,TA08,,,,,,,,R0M1Sl0Pr3,,TA,Taster,,EG,
289,Erdgeschoss,Wohnzimmer,TA09,,,,,,,,R0M1Sl0Pr4,,TA,Taster,,EG,
290,Erdgeschoss,Wohnzimmer,TA12 ausgang West,,,,,,,,R0M1Sl0Pr7,,TA,Taster,,EG,
291,Erdgeschoss,Wohnzimmer,TA13 Küche Ost,,,,,,,,R0M3Sl0Pr2,,TA,Taster,,EG,
292,Erdgeschoss,Wohnzimmer,TA14 Küche Ost,,,,,,,,R0M3Sl0Pr3,,TA,Taster,,EG,
293,Erdgeschoss,Wohnzimmer,TA15 bei Speis,,,,,,,,R0M5Sl0Pr13,,TA,Taster,,EG,
294,Erdgeschoss,Wohnzimmer,TA17,,,,,,,,R0M1Sl0Pr8,blau/rot,TA,Taster,,EG,
295,Erdgeschoss,Wohnzimmer,,,,,,,,,,,,Sound,,NoSPS,
296,Erdgeschoss,Wohnzimmer,,,,,,,,,,,,Blumengießanlage,,NoSPS,
297,Obergeschoß,Kinderbad,Dose WC,,,,S9,R27,,,,,,Dose,WC,OG,
298,Keller,Flur,Temperaturfühler,,,,,,,,R0M0Sl0Pr3,,TE,Temperaturfühler,,KG,27
299,Keller,Flur,K-TA03(Stiegenhaus Tür Wellness),,,,,,,,R0M3Sl0Pr15,,TA,Taster,(+1 durchgeschliffen mit Wellnesraum),KG,
300,Keller,Flur,K-FK05 (Eingangstüre),,,,,,,,R0M5Sl0Pr2,,FK,Fensterkontakt,Haustüre,KG,
301,Keller,Flur,RESERVE EINGANG,,,,,,,,R0M5Sl0Pr3,,FK,Fensterkontakt,,KG,
302,Keller,Flur,Rauchmelder,,,,,,,,R0M7Sl0Pr0,,RM,Rauchmelder,,EG,
303,Keller,Flur,RESERVE EINGANG,,,,,,,,R0M7Sl0Pr1,,FK,Fensterkontakt,,KG,
304,Keller,Flur,IR,,,,,,,,R0M7Sl0Pr2,,IR,IR,,EG,
305,Keller,Flur,RESERVE EINGANG,,,,,,,,R0M7Sl0Pr3,,FK,Fensterkontakt,,KG,
306,Keller,Flur,K-TA04 (Tür zu Waschraum) +,,,,,,,,R0M3Sl0Pr10,,,,,KG,
307,Keller,Flur,K-TA07 (Tür Heizraum) ,,,,,,,,R0M3Sl0Pr9,,,,,KG,
308,Keller,Flur,K-TA05 (zur Aussentür) ,,,,,,,,R0M5Sl0Pr4,,,,,KG,
309,Keller,Flur,K-TA06 (zur Aussentür),,,,,,,,R0M5Sl0Pr5,,,,,KG,
310,Keller,Flur,,,,,,,,,,,TA,Staubsauganlage,,NoSPS,
311,Keller,Heizraum,Stellantrieb 2,,L1,K-HEIZ01,S21,,,,,,DO,Dose,Stellantrieb Mischer 2,KG,
312,Keller,Heizraum,Rauchmelder,,,,,,,,,,RM,Rauchmelder,wird über FK angehängt,KG,
313,Keller,Heizraum,K-FK Heizraum,,,,,,,,,die weissenlitzen sind die geschaltenen eingänge,,Fensterkontakt,Kellerfenster,KG,
314,Keller,Heizraum,Stellantrieb 1,,,,,,,,,,DO,Dose,Stellantrieb Mischer 1,KG,
315,Keller,Heizraum,Signal stellantriebe (Eingang v0n oberen 4 ausgängen),,,,,,,,,,FK,Fensterkontakt 230V!,Signal von 2 Stellantrieben (offen/zu),KG,
316,Keller,Heizraum,Reserve Eingang,,,,,,,,,,,,,KG,
317,Keller,Heizraum,Reserve Eingang,,,,,,,,,,,,,KG,
318,Keller,Holzraum,Dose dauer,,,K400V,K400V,,,,,,,Dose dauer,,NoSPS,
319,Keller,Holzraum,K-FK08,,,,,,,,R0M3Sl0Pr5,,FK,Fensterkontakt,Lucke,KG,
320,Keller,Holzraum,2.16 Wasserstand voll,,,,,,,,R0M3Sl0Pr6,,DI,2.16 Wasserstand voll,für Pumpwerk innen,KG,15
321,Keller,Holzraum,2.17 Wasserstand Not aus,,,,,,,,R0M3Sl0Pr7,,DI,2.17 Wasserstand Not aus,für Pumpwerk innen,KG,16
322,Keller,Holzraum,K-TA08,,,,,,,,R0M3Sl0Pr4,,TA,Taster,,KG,
323,Keller,Holzraum,Rauchmelder,,,,,,,,,,RM,Rauchmelder,über Lucke Kabel,KG,
324,Keller,Holzraum,2.32 Wasserstand kein Wasser,,,,,,,,,R1M1Sl0Pr5,DI,2.32 Wasserstand kein Wasser,,KG,31
325,Keller,Holzraum,2.30 Wasserstand voll,,,,,,,,,R1M1Sl0Pr4,DI,2.30 Wasserstand voll,,KG,29
326,Keller,Holzraum,2.31 Wasser überlauf,,,,,,,,,R1M1Sl0Pr6,DI,2.31 Wasser überlauf,,KG,30
327,Keller,Holzraum,für Pumpemsumpf aussen,,,,,,,,,,DI,Noch offen!,für Pumpemsumpf aussen,KG,
328,Keller,Holzraum,K400V,,,K-EXTRA01,,,,,,,,Dose dauer 400V,,NoSPS,
329,Keller,Speis,,,,,,,,,,,,dickes kabel für Überführung in Zubau,,NoSPS,
330,Keller,Speis,,,,,,,,,,,,Netzwerk,,NoSPS,
331,Keller,Speis,,,,,,,,,,,,CAN Kabel für SPS erweiterung,,NoSPS,
332,Keller,Waschraum,Reserve bei Steckdosen am Boden,,,,,,,,R0M5Sl0Pr10,,,Reserve bei Steckdosen am Boden,,KG,
333,Keller,Waschraum,Reserve bei Steckdosen am Boden,,,,,,,,R0M5Sl0Pr8,,,Reserve bei Steckdosen am Boden,,KG,
334,Keller,Waschraum,Reserve bei Steckdosen am Boden,,,,,,,,R0M5Sl0Pr9,,,Reserve bei Steckdosen am Boden,,KG,
335,Keller,Waschraum,Rauchmelder,,,,,,,,,,RM,Rauchmelder,,EG,
336,Keller,Waschraum,3.27 Kanal leer,,,,,,,,R0M9Sl0Po14,,DI,3.27 Kanal leer,,KG,99
337,Keller,Waschraum,3.28 Kanal voll (2 sensoren),,,,,,,,R0M9Sl0Po15,,DI,3.28 Kanal voll (2 sensoren),,KG,100
338,Keller,Waschraum,durchgeschiffen und bei Werkstatt 2 angehängt,,,,,,,,,,,Dose dauer,,KG,
339,Keller,Waschraum,Netzwerk,,,,,,,,,,,Netzwerk,,NoSPS,
340,Keller,Wellnessbereich,Licht Wand bei Dusche (gleiches Relais wie Licht Wand),,L2,,S12,,,,,,,Licht,Wand bei Dusche (gleiches Relais wie Licht Wand),EG,
341,Keller,Wellnessbereich,K-01Dod + K-02Dod,,,K-DO04,S34,,,,,,,Dose dauer,,KG,
342,Keller,Wellnessbereich,K-Temp Sauna 2.40,,,,,,,,R0M0Sl1Pr1,,TE,Temp,Sauna 2.40,KG,39
343,Keller,Wellnessbereich,Rauchmelder,,,,,,,,R0M1Sl0Pr12,orange (1),RM,Rauchmelder,,KG,
344,Keller,Wellnessbereich,IR,,,,,,,,R0M1Sl0Pr13,orange (2),IR,IR,,KG,
345,Keller,Wellnessbereich,K-SA01,,,,,,,,R0M3Sl0Pr12,,TA,Staubsauganlage,,KG,
346,Keller,Wellnessbereich,K-FK01,,,,,,,,R0M5Sl0Pr0,,FK,Fensterkontakt,durchgschliffen,KG,
347,Keller,Wellnessbereich,K-FK02,,,,,,,,R0M5Sl0Pr1,,FK,Fensterkontakt,durchgschliffen,KG,
348,Keller,Wellnessbereich,K-TA01 Stiegenhaus+Wellness,,,,,,,,R0M3Sl0Pr8,,TA,Taster,,KG,
349,Keller,Wellnessbereich,K-Sauna400V-01,,,K-SAUNA,,,,,,,,Dose dauer 400V,,KG,
350,Keller,Wellnessbereich,Temp,,,,,,,,,,TE,Temp,am FK mit angehängt,KG,
351,Keller,Werkstatt 1 ,K-FK06,,,,,,,,R0M5Sl0Pr11,,FK,Fensterkontakt,durchgeschliffen,KG,
352,Keller,Werkstatt 1 ,K-FK07,,,,,,,,R0M5Sl0Pr12,,FK,Fensterkontakt,durchgeschliffen,KG,
353,Keller,Werkstatt 1 ,K-SA02,,,,,,,,R0M3Sl0Pr13,,TA,Staubsauganlage,,KG,
354,Keller,Werkstatt 1 ,Temp fühler,,,,,,,,,,TE,Temp,am Kabel für Fk,KG,
355,Keller,Werkstatt 1 ,,,,,,,,,,,,Netzwerk,,NoSPS,
356,Keller,Werkstatt 2,K-06DOd,,,K-DO07,S33,,,,,,,Dose dauer,,NoSPS,
357,Keller,Werkstatt 2,K-SA03,,,,,,,,R0M3Sl0Pr14,,TA,Staubsauganlage,,NoSPS,
358,Keller,Werkstatt 2,K-FK03,,,,,,,,R0M5Sl0Pr6,,FK,Fensterkontakt,Lucke und Fenster durchgeschliffen,KG,
359,Keller,Werkstatt 2,K-FK04 ,,,,,,,,R0M5Sl0Pr7,,FK,Fensterkontakt,Lucke und Fenster durchgeschliffen,KG,
360,Keller,Werkstatt 2,K-TA02,,,,,,,,R0M3Sl0Pr11,,TA,Taster,,KG,
361,Keller,Werkstatt 2,K400VoltDOd,,,K-400-Werkstatt,,,,,,,,Dose dauer 400V,,NoSPS,
362,Keller,Werkstatt 2,Dose Dauer ,,,K-400-Werkstatt,,,,,,,,Dose dauer,,NoSPS,
363,Keller,Werkstatt 2,,,,,,,,,,,,Netzwerk,,NoSPS,
364,Obergeschoß,Kinderbad,Dose WC 2,,,,S9,R28,,,,,,Dose,WC 2,OG,
365,Obergeschoß,Kinderbad,Fensterkontakt grün geschalten (rot+),,,,,,,,R2M3Sl0Pr01,,,Fensterkontakt,grün geschalten (rot+),OG,
366,Obergeschoß,Kinderzimmer Nord,Sound,,,,,,,,,,,Sound,,NoSPS,
367,Obergeschoß,Kinderzimmer Nord,Blumengießanlage,,,,,,,,,,,Blumengießanlage,,NoSPS,
368,Obergeschoß,Kinderzimmer Nord,Netzwerk,,,,,,,,,,,Netzwerk,,NoSPS,
369,Obergeschoß,Kinderbad,Fensterkontakt weiss geschalten (rot+),,,,,,,,R2M1Sl0Pr14,,,Fensterkontakt,weiss geschalten (rot+),OG,
370,Obergeschoß,Kinderbad,Fensterkontakt weiss geschalten (rot+),,,,,,,,R2M1Sl0Pr15,,,Fensterkontakt,weiss geschalten (rot+),OG,
371,Obergeschoß,Kinderbad,Fensterkontakt gelb geschalten (rot+),,,,,,,,R2M3Sl0Pr01,,,Fensterkontakt,gelb geschalten (rot+),OG,
372,Obergeschoß,Kinderbad,Temp 7.02,,,,,,,,R2M0Sl0Pr1,,,Temp,7.02,OG,
373,Obergeschoß,Kinderbad,Licht Dimmbar Wand verbraucher noch nicht angeschlossen,,,,S11,R107,,R3M3Sl0Pr7,,,,Licht Dimmbar,Wand verbraucher noch nicht angeschlossen,OG,
374,Obergeschoß,Kinderbad,Licht Decke verbraucher noch nicht angeschlossen,,,,S11,R108,,R3M3Sl0Pr6,,,,Licht,Decke verbraucher noch nicht angeschlossen,OG,
375,Obergeschoß,Kinderzimmer Nord,Taster Bett,,,,,,,,R2M1Sl0Pr0,,,Taster,Bett,OG,
376,Obergeschoß,Kinderzimmer Nord,Taster Tür,,,,,,,,R2M1Sl0Pr03,,,Taster,Tür,OG,
377,Obergeschoß,Kinderzimmer Nord,Dose dauer,,L3,O-DO06,S2,na,,na,,,,Dose dauer,,NoSPS,
378,Obergeschoß,Kinderzimmer Nord,Licht Decke 1,,L1,O-LI03,S12,R13,,R2M4Sl0Pr08,,,,Licht,Decke 1,OG,
379,Obergeschoß,Kinderzimmer Nord,Licht decke 2,,L1,O-LI03,S12,R14,,R2M4Sl0Pr07,,,,Licht,decke 2,OG,
380,Obergeschoß,Kinderzimmer Nord,Dose,,,,,R61,,R2M2Sl0Pr06,,,,Dose,,OG,
381,Obergeschoß,Kinderzimmer Nord,Dose,,,,,R62,,R2M2Sl0Pr05,,,,Dose,,OG,
382,Obergeschoß,Kinderzimmer Nord,Dose,,,,,R63,,R2M2Sl0Pr04,,,,Dose,,OG,
383,Obergeschoß,Ankleide,Blumengießanlage,,,,,,,,,,,Blumengießanlage,,NoSPS,
384,Obergeschoß,Kinderzimmer Nord,Dose,,,,,R64,,R2M2Sl0Pr03,,,,Dose,,OG,
385,Obergeschoß,Kinderzimmer Nord,Dose,,L3,O-DO03,S1,,,,,,,Dose,,OG,
386,Obergeschoß,Kinderzimmer Nord,Fensterkontakt,,,,,,,,R2M1Sl0Pr1,,,Fensterkontakt,,OG,
387,Obergeschoß,Kinderzimmer Nord,Fensterkontakt,,,,,,,,R2M1Sl0Pr2,,,Fensterkontakt,,OG,
388,Obergeschoß,Kinderzimmer Nord (Schlaf),Temp 7.01,,,,,,,,R2M0Sl0Pr3,,,Temp,7.01,OG,
389,Obergeschoß,Kinderzimmer Nord,Rauchmelder,,,,,,,,R2M1Sl0Pr10,,,Rauchmelder,,OG,
390,Obergeschoß,Kinderzimmer Nord,Fensterkontakt InnenTür,,,,,,,,R2M3Sl0Pr02,,,Fensterkontakt,InnenTür,OG,
391,Obergeschoß,Kinderzimmer Süd,Taster Taster links,,,,,,,,R2M1Sl0Pr07,,,Taster,Taster links,OG,
