epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3647.03,1.08497,1.51431,0.73361,0.89248,0.84601,0.52483,0.58596,0.4432,0.85402,0.49402,0.55965,0.34041,1.07856,1.57921,0.8418,0.9271,0.00033625,0.00033625,0.00033625
30,3770.83,1.08117,1.6066,0.77034,0.92209,0.83581,0.53123,0.58981,0.44695,0.84044,0.50109,0.56378,0.34563,1.06354,1.56019,0.84644,0.92638,0.000325938,0.000325938,0.000325938
31,3898.08,1.07487,1.50573,0.7181,0.87862,0.84004,0.52896,0.57625,0.44413,0.83032,0.51237,0.55202,0.34599,1.0682,1.51738,0.88918,0.92842,0.000315625,0.000315625,0.000315625
32,4022.13,1.03405,1.47842,0.69886,0.8938,0.8447,0.52588,0.57178,0.44326,0.83027,0.51111,0.55227,0.3469,1.07738,1.53609,0.92986,0.9273,0.000305312,0.000305312,0.000305312
33,4142.06,1.02185,1.50042,0.7387,0.91207,0.82738,0.52197,0.57094,0.44185,0.81881,0.51395,0.55936,0.33627,1.08878,1.56681,0.92678,0.92902,0.000295,0.000295,0.000295
34,4265.37,1.05808,1.49981,0.67983,0.89154,0.82411,0.52631,0.57189,0.43775,0.81677,0.52269,0.55728,0.33041,1.10414,1.55163,0.91257,0.93226,0.000284688,0.000284688,0.000284688
35,4386.31,0.97783,1.39592,0.67234,0.89193,0.84613,0.51632,0.57422,0.436,0.8261,0.50098,0.54578,0.33046,1.0755,1.54267,0.8678,0.92834,0.000274375,0.000274375,0.000274375
36,4510.34,1.00923,1.42044,0.66933,0.88108,0.85343,0.51106,0.57339,0.43557,0.83315,0.49634,0.54575,0.33217,1.05799,1.53789,0.85169,0.92457,0.000264062,0.000264062,0.000264062
37,4633.84,1.01394,1.4666,0.69368,0.88751,0.80077,0.50627,0.56181,0.43279,0.79321,0.49887,0.54371,0.3321,1.07024,1.56311,0.84754,0.93029,0.00025375,0.00025375,0.00025375
38,4757.39,1.02186,1.48479,0.7024,0.90203,0.81283,0.51276,0.56265,0.43069,0.79625,0.48977,0.54018,0.33198,1.07717,1.55569,0.86846,0.9309,0.000243437,0.000243437,0.000243437
39,4879.61,1.04668,1.48665,0.69164,0.90616,0.84478,0.53394,0.57861,0.44346,0.8292,0.50156,0.54689,0.33958,1.07836,1.5311,0.88257,0.92845,0.000233125,0.000233125,0.000233125
40,5000.15,0.97197,1.46357,0.65461,0.89682,0.8266,0.54949,0.58311,0.44857,0.81079,0.51559,0.55282,0.34412,1.06025,1.51047,0.87359,0.92291,0.000222813,0.000222813,0.000222813
41,5124.96,1.03354,1.52641,0.64877,0.89047,0.80638,0.55297,0.58349,0.44697,0.84805,0.5043,0.55902,0.34326,1.05691,1.52942,0.83953,0.92143,0.0002125,0.0002125,0.0002125
42,5245.95,0.99898,1.38591,0.62865,0.88325,0.84694,0.51352,0.58146,0.44794,0.84843,0.50668,0.5579,0.34118,1.05284,1.51205,0.8309,0.92126,0.000202188,0.000202188,0.000202188
43,5368.82,1.00629,1.37515,0.63732,0.88286,0.82539,0.53878,0.58382,0.44821,0.82954,0.49598,0.55772,0.33916,1.05916,1.4792,0.81613,0.9198,0.000191875,0.000191875,0.000191875
44,5490.7,0.95001,1.38656,0.61914,0.88613,0.82041,0.5418,0.58345,0.44884,0.8383,0.50305,0.55753,0.34457,1.05775,1.47825,0.80222,0.9193,0.000181563,0.000181563,0.000181563
45,5613.63,0.97031,1.35724,0.62405,0.87769,0.8439,0.53794,0.58426,0.45236,0.86249,0.5037,0.56013,0.35279,1.0416,1.49351,0.78292,0.91718,0.00017125,0.00017125,0.00017125
46,5736.34,0.97196,1.39695,0.61591,0.86672,0.84799,0.54014,0.58654,0.45405,0.84587,0.50959,0.56034,0.35299,1.03949,1.51042,0.77686,0.91713,0.000160938,0.000160938,0.000160938
47,5860.44,0.95487,1.39985,0.58932,0.87179,0.8526,0.53024,0.5773,0.45645,0.84501,0.50999,0.55923,0.34861,1.0354,1.51324,0.77398,0.91382,0.000150625,0.000150625,0.000150625
48,5983.26,0.96346,1.42602,0.60729,0.86698,0.85375,0.52894,0.57749,0.45643,0.85361,0.50988,0.55932,0.34559,1.03997,1.50825,0.77842,0.91514,0.000140313,0.000140313,0.000140313
49,6109.81,1.01988,1.50559,0.6282,0.88297,0.85079,0.53516,0.57735,0.45698,0.8415,0.51271,0.56035,0.34721,1.03653,1.49152,0.75949,0.91482,0.00013,0.00013,0.00013
50,6231.5,0.98282,1.35951,0.59944,0.87129,0.85132,0.52787,0.57684,0.4571,0.84856,0.50521,0.55802,0.34551,1.03139,1.48212,0.7678,0.91349,0.000119688,0.000119688,0.000119688
51,6347.67,0.94285,1.377,0.61585,0.88229,0.9228,0.52412,0.572,0.45529,0.9315,0.50548,0.5556,0.34887,1.00919,1.48699,0.78303,0.9137,0.000109375,0.000109375,0.000109375
52,6462.94,0.94196,1.30443,0.60269,0.87512,0.90601,0.52961,0.57703,0.45738,0.91741,0.50228,0.55469,0.35077,1.00712,1.50113,0.79495,0.91518,9.90625e-05,9.90625e-05,9.90625e-05
53,6578.31,0.94357,1.42187,0.63403,0.87961,0.81724,0.53605,0.57867,0.45711,0.83781,0.49924,0.5542,0.35147,0.99896,1.49034,0.78015,0.91274,8.875e-05,8.875e-05,8.875e-05
54,6694.25,0.90894,1.29955,0.57467,0.87151,0.819,0.52912,0.57836,0.45583,0.83074,0.50163,0.55538,0.35025,0.99801,1.47584,0.76532,0.90991,7.84375e-05,7.84375e-05,7.84375e-05
55,6809.14,0.93822,1.34907,0.5865,0.87031,0.83594,0.51785,0.57998,0.45583,0.82496,0.50351,0.55392,0.34817,1.00418,1.45661,0.76826,0.91086,6.8125e-05,6.8125e-05,6.8125e-05
56,6925.02,0.89349,1.3289,0.56914,0.86589,0.84791,0.52043,0.58011,0.45678,0.8376,0.50405,0.55408,0.34812,1.00168,1.45472,0.76249,0.908,5.78125e-05,5.78125e-05,5.78125e-05
57,7040.14,0.87748,1.29683,0.5743,0.86512,0.83614,0.52309,0.57486,0.45555,0.83517,0.50431,0.55838,0.3498,1.00121,1.45023,0.76173,0.90773,4.75e-05,4.75e-05,4.75e-05
58,7154.95,0.89433,1.36757,0.56654,0.86132,0.8257,0.52753,0.57826,0.4564,0.82759,0.50449,0.55256,0.34885,1.00299,1.45311,0.75947,0.90784,3.71875e-05,3.71875e-05,3.71875e-05
59,7270.52,0.90161,1.27425,0.56491,0.87125,0.82954,0.52554,0.57539,0.45585,0.83303,0.50261,0.55209,0.35009,0.99837,1.45304,0.75687,0.90638,2.6875e-05,2.6875e-05,2.6875e-05
60,7386.97,0.86896,1.22597,0.53781,0.85781,0.83147,0.52064,0.5756,0.45685,0.8402,0.50193,0.55223,0.34953,0.99871,1.44929,0.75314,0.90693,1.65625e-05,1.65625e-05,1.65625e-05
